[I 170911 15:13:17 writedosshell:179] 
    
    This is the standard passed in EDIFACT_D08B
    
    
[I 170911 15:13:17 writedosshell:67] 78 FACT_GENRAL_D08B.dic
[I 170911 15:13:17 writedosshell:67] 79 FACT_GESMES_D08B.dic
[I 170911 15:13:17 writedosshell:67] 80 FACT_HANMOV_D08B.dic
[I 170911 15:13:17 writedosshell:67] 81 FACT_ICASRP_D08B.dic
[I 170911 15:13:17 writedosshell:67] 82 FACT_ICSOLI_D08B.dic
[I 170911 15:13:17 writedosshell:67] 83 FACT_IFCSUM_D08B.dic
[I 170911 15:13:17 writedosshell:67] 84 FACT_IFTCCA_D08B.dic
[I 170911 15:13:17 writedosshell:67] 85 FACT_IFTDGN_D08B.dic
[I 170911 15:13:18 writedosshell:67] 86 FACT_IFTFCC_D08B.dic
[I 170911 15:13:18 writedosshell:67] 87 FACT_IFTICL_D08B.dic
[I 170911 15:13:18 writedosshell:67] 88 FACT_IFTMAN_D08B.dic
[I 170911 15:13:18 writedosshell:67] 89 FACT_IFTMBC_D08B.dic
[I 170911 15:13:18 writedosshell:67] 90 FACT_IFTMBF_D08B.dic
[I 170911 15:13:18 writedosshell:67] 91 FACT_IFTMBP_D08B.dic
[I 170911 15:13:18 writedosshell:67] 92 FACT_IFTMCA_D08B.dic
[I 170911 15:13:18 writedosshell:67] 93 FACT_IFTMCS_D08B.dic
[I 170911 15:13:18 writedosshell:67] 94 FACT_IFTMIN_D08B.dic
[I 170911 15:13:18 writedosshell:67] 95 FACT_IFTRIN_D08B.dic
[I 170911 15:13:18 writedosshell:67] 96 FACT_IFTSAI_D08B.dic
[I 170911 15:13:18 writedosshell:67] 97 FACT_IFTSTA_D08B.dic
[I 170911 15:13:18 writedosshell:67] 98 FACT_IFTSTQ_D08B.dic
[I 170911 15:13:18 writedosshell:67] 99 FACT_IMPDEF_D08B.dic
[I 170911 15:13:18 writedosshell:67] 100 FACT_INFCON_D08B.dic
[I 170911 15:13:18 writedosshell:67] 101 FACT_INFENT_D08B.dic
[I 170911 15:13:18 writedosshell:67] 102 FACT_INSDES_D08B.dic
[I 170911 15:13:18 writedosshell:67] 103 FACT_INSPRE_D08B.dic
[I 170911 15:13:18 writedosshell:67] 104 FACT_INSREQ_D08B.dic
[I 170911 15:13:18 writedosshell:67] 105 FACT_INSRPT_D08B.dic
[I 170911 15:13:18 writedosshell:67] 106 FACT_INVOIC_D08B.dic
[I 170911 15:13:18 writedosshell:67] 107 FACT_INVRPT_D08B.dic
[I 170911 15:13:18 writedosshell:67] 108 FACT_IPPOAD_D08B.dic
[I 170911 15:13:18 writedosshell:67] 109 FACT_IPPOMO_D08B.dic
[I 170911 15:13:18 writedosshell:67] 110 FACT_ISENDS_D08B.dic
[I 170911 15:13:18 writedosshell:67] 111 FACT_ITRRPT_D08B.dic
[I 170911 15:13:18 writedosshell:67] 112 FACT_JAPRES_D08B.dic
[I 170911 15:13:18 writedosshell:67] 113 FACT_JINFDE_D08B.dic
[I 170911 15:13:18 writedosshell:67] 114 FACT_JOBAPP_D08B.dic
[I 170911 15:13:18 writedosshell:67] 115 FACT_JOBCON_D08B.dic
[I 170911 15:13:18 writedosshell:67] 116 FACT_JOBMOD_D08B.dic
[I 170911 15:13:18 writedosshell:67] 117 FACT_JOBOFF_D08B.dic
[I 170911 15:13:18 writedosshell:67] 118 FACT_JUPREQ_D08B.dic
[I 170911 15:13:18 writedosshell:67] 119 FACT_LEDGER_D08B.dic
[I 170911 15:13:18 writedosshell:67] 120 FACT_LREACT_D08B.dic
[I 170911 15:13:18 writedosshell:67] 121 FACT_LRECLM_D08B.dic
[I 170911 15:13:18 writedosshell:67] 122 FACT_MEDPID_D08B.dic
[I 170911 15:13:18 writedosshell:67] 123 FACT_MEDPRE_D08B.dic
[I 170911 15:13:18 writedosshell:67] 124 FACT_MEDREQ_D08B.dic
[I 170911 15:13:18 writedosshell:67] 125 FACT_MEDRPT_D08B.dic
[I 170911 15:13:18 writedosshell:67] 126 FACT_MEDRUC_D08B.dic
[I 170911 15:13:18 writedosshell:67] 127 FACT_MEQPOS_D08B.dic
[I 170911 15:13:18 writedosshell:67] 128 FACT_MOVINS_D08B.dic
[I 170911 15:13:18 writedosshell:67] 129 FACT_MSCONS_D08B.dic
[I 170911 15:13:18 writedosshell:67] 130 FACT_ORDCHG_D08B.dic
[I 170911 15:13:18 writedosshell:67] 131 FACT_ORDERS_D08B.dic
