[I 170907 15:35:00 testlog:72] 80 FACT_GOVCBR_D16A.dic
[I 170907 15:35:01 testlog:72] 81 FACT_HANMOV_D16A.dic
[I 170907 15:35:01 testlog:72] 82 FACT_ICASRP_D16A.dic
[I 170907 15:35:01 testlog:72] 83 FACT_ICSOLI_D16A.dic
[I 170907 15:35:01 testlog:72] 84 FACT_IFCSUM_D16A.dic
[I 170907 15:35:01 testlog:72] 85 FACT_IFTCCA_D16A.dic
[I 170907 15:35:01 testlog:72] 86 FACT_IFTDGN_D16A.dic
[I 170907 15:35:01 testlog:72] 87 FACT_IFTFCC_D16A.dic
[I 170907 15:35:01 testlog:72] 88 FACT_IFTICL_D16A.dic
[I 170907 15:35:01 testlog:72] 89 FACT_IFTMAN_D16A.dic
[I 170907 15:35:01 testlog:72] 90 FACT_IFTMBC_D16A.dic
[I 170907 15:35:02 testlog:72] 91 FACT_IFTMBF_D16A.dic
[I 170907 15:35:02 testlog:72] 92 FACT_IFTMBP_D16A.dic
[I 170907 15:35:02 testlog:72] 93 FACT_IFTMCA_D16A.dic
[I 170907 15:35:02 testlog:72] 94 FACT_IFTMCS_D16A.dic
[I 170907 15:35:02 testlog:72] 95 FACT_IFTMIN_D16A.dic
[I 170907 15:35:02 testlog:72] 96 FACT_IFTRIN_D16A.dic
[I 170907 15:35:02 testlog:72] 97 FACT_IFTSAI_D16A.dic
[I 170907 15:35:02 testlog:72] 98 FACT_IFTSTA_D16A.dic
[I 170907 15:35:02 testlog:72] 99 FACT_IFTSTQ_D16A.dic
[I 170907 15:35:02 testlog:72] 100 FACT_IMPDEF_D16A.dic
[I 170907 15:35:02 testlog:72] 101 FACT_INFCON_D16A.dic
[I 170907 15:35:02 testlog:72] 102 FACT_INFENT_D16A.dic
[I 170907 15:35:02 testlog:72] 103 FACT_INSDES_D16A.dic
[I 170907 15:35:02 testlog:72] 104 FACT_INSPRE_D16A.dic
[I 170907 15:35:02 testlog:72] 105 FACT_INSREQ_D16A.dic
[I 170907 15:35:02 testlog:72] 106 FACT_INSRPT_D16A.dic
[I 170907 15:35:02 testlog:72] 107 FACT_INVOIC_D16A.dic
[I 170907 15:35:02 testlog:72] 108 FACT_INVRPT_D16A.dic
[I 170907 15:35:02 testlog:72] 109 FACT_IPPOAD_D16A.dic
[I 170907 15:35:02 testlog:72] 110 FACT_IPPOMO_D16A.dic
[I 170907 15:35:02 testlog:72] 111 FACT_ISENDS_D16A.dic
[I 170907 15:35:02 testlog:72] 112 FACT_ITRRPT_D16A.dic
[I 170907 15:35:02 testlog:72] 113 FACT_JAPRES_D16A.dic
[I 170907 15:35:03 testlog:72] 114 FACT_JINFDE_D16A.dic
[I 170907 15:35:03 testlog:72] 115 FACT_JOBAPP_D16A.dic
[I 170907 15:35:03 testlog:72] 116 FACT_JOBCON_D16A.dic
[I 170907 15:35:03 testlog:72] 117 FACT_JOBMOD_D16A.dic
[I 170907 15:35:03 testlog:72] 118 FACT_JOBOFF_D16A.dic
[I 170907 15:35:03 testlog:72] 119 FACT_JUPREQ_D16A.dic
[I 170907 15:35:03 testlog:72] 120 FACT_LEDGER_D16A.dic
[I 170907 15:35:03 testlog:72] 121 FACT_LREACT_D16A.dic
[I 170907 15:35:03 testlog:72] 122 FACT_LRECLM_D16A.dic
[I 170907 15:35:03 testlog:72] 123 FACT_MEDPID_D16A.dic
[I 170907 15:35:03 testlog:72] 124 FACT_MEDPRE_D16A.dic
[I 170907 15:35:03 testlog:72] 125 FACT_MEDREQ_D16A.dic
[I 170907 15:35:03 testlog:72] 126 FACT_MEDRPT_D16A.dic
[I 170907 15:35:03 testlog:72] 127 FACT_MEDRUC_D16A.dic
[I 170907 15:35:03 testlog:72] 128 FACT_MEQPOS_D16A.dic
[I 170907 15:35:03 testlog:72] 129 FACT_MOVINS_D16A.dic
[I 170907 15:35:03 testlog:72] 130 FACT_MSCONS_D16A.dic
[I 170907 15:35:03 testlog:72] 131 FACT_ORDCHG_D16A.dic
[I 170907 15:35:03 testlog:72] 132 FACT_ORDERS_D16A.dic
[I 170907 15:35:03 testlog:72] 133 FACT_ORDRSP_D16A.dic
[I 170907 15:35:03 testlog:72] 134 FACT_OSTENQ_D16A.dic
[I 170907 15:35:03 testlog:72] 135 FACT_OSTRPT_D16A.dic
[I 170907 15:35:03 testlog:72] 136 FACT_PARTIN_D16A.dic
[I 170907 15:35:03 testlog:72] 137 FACT_PAXLST_D16A.dic
[I 170907 15:35:03 testlog:72] 138 FACT_PAYDUC_D16A.dic
[I 170907 15:35:03 testlog:72] 139 FACT_PAYEXT_D16A.dic
[I 170907 15:35:03 testlog:72] 140 FACT_PAYMUL_D16A.dic
[I 170907 15:35:04 testlog:72] 141 FACT_PAYORD_D16A.dic
[I 170907 15:35:04 testlog:72] 142 FACT_PRICAT_D16A.dic
[I 170907 15:35:04 testlog:72] 143 FACT_PRIHIS_D16A.dic
[I 170907 15:35:04 testlog:72] 144 FACT_PROCST_D16A.dic
[I 170907 15:35:04 testlog:72] 145 FACT_PRODAT_D16A.dic
[I 170907 15:35:04 testlog:72] 146 FACT_PRODEX_D16A.dic
[I 170907 15:35:04 testlog:72] 147 FACT_PROINQ_D16A.dic
[I 170907 15:35:04 testlog:72] 148 FACT_PROSRV_D16A.dic
[I 170907 15:35:04 testlog:72] 149 FACT_PROTAP_D16A.dic
[I 170907 15:35:04 testlog:72] 150 FACT_PRPAID_D16A.dic
[I 170907 15:35:04 testlog:72] 151 FACT_QALITY_D16A.dic
[I 170907 15:35:04 testlog:72] 152 FACT_QUOTES_D16A.dic
[I 170907 15:35:04 testlog:72] 153 FACT_RDRMES_D16A.dic
